idx,note,channel,velocity,pretty_start,pretty_end,mido_start,mido_end,diff_start,diff_end
0,57,0,127,0.000000,2.000000,0.000000,2.823528,0.000000,-0.823528
1,64,0,127,0.000000,2.000000,0.000000,2.823528,0.000000,-0.823528
2,52,0,95,0.125000,0.250000,0.176471,0.352941,-0.051471,-0.102941
3,60,0,95,0.250000,0.375000,0.352941,0.529412,-0.102941,-0.154412
4,69,0,127,0.375000,0.500000,0.529412,0.705882,-0.154412,-0.205882
5,79,0,127,0.500000,0.750000,0.705882,1.058823,-0.205882,-0.308823
6,60,0,95,0.750000,1.000000,1.058823,1.411764,-0.308823,-0.411764
7,65,0,95,0.750000,1.000000,1.058823,1.411764,-0.308823,-0.411764
8,72,0,127,0.750000,1.250000,1.058823,1.764705,-0.308823,-0.514705
9,53,0,95,1.000000,2.000000,1.411764,2.823528,-0.411764,-0.823528
10,48,0,95,1.125000,1.250000,1.588234,1.764705,-0.463234,-0.514705
11,60,0,95,1.250000,1.875000,1.764705,2.647057,-0.514705,-0.772057
12,65,0,127,1.375000,1.500000,1.941175,2.117646,-0.566175,-0.617646
13,72,0,127,1.500000,1.750000,2.117646,2.470587,-0.617646,-0.720587
14,79,0,127,1.750000,3.000000,2.470587,4.235292,-0.720587,-1.235292
15,55,0,95,2.000000,2.375000,2.823528,3.352940,-0.823528,-0.977940
16,50,0,73,2.125000,2.250000,2.999998,3.176469,-0.874998,-0.926469
17,55,0,79,2.250000,2.375000,3.176469,3.882351,-0.926469,-1.507351
18,67,0,127,2.375000,2.500000,3.352940,3.529410,-0.977940,-1.029410
19,72,0,127,2.500000,2.750000,3.529410,3.882351,-1.029410,-1.132351
20,79,0,127,2.750000,3.000000,3.882351,4.941174,-1.132351,-1.941174
21,60,0,95,2.750000,3.500000,3.882351,5.294115,-1.132351,-1.794115
22,48,0,95,2.750000,3.750000,3.882351,5.294115,-1.132351,-1.544115
23,55,0,95,3.000000,3.125000,4.235292,4.411763,-1.235292,-1.286763
24,60,0,95,3.125000,3.500000,4.411763,5.294115,-1.286763,-1.794115
25,64,0,127,3.250000,3.750000,4.588233,5.294115,-1.338233,-1.544115
26,62,0,82,3.500000,3.750000,4.941174,5.294115,-1.441174,-1.544115
27,60,0,95,3.750000,4.000000,5.294115,5.647056,-1.544115,-1.647056
